latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-37.6107,147.9725,309.2,2.5,1.5,2019-12-29,1227,Terra,MODIS,64,6.03,296.3,24.1,N,0
-37.5968,147.9709,307.5,2.5,1.5,2019-12-29,1227,Terra,MODIS,23,6.03,296.7,17.8,N,0
-37.5988,147.9428,310.3,2.5,1.5,2019-12-29,1227,Terra,MODIS,69,6.03,296.5,24.7,N,0
-37.5419,147.8748,329,2.5,1.5,2019-12-29,1227,Terra,MODIS,100,6.03,298.4,92,N,0
-37.5398,147.9044,321.9,2.5,1.5,2019-12-29,1227,Terra,MODIS,100,6.03,298.3,56.7,N,0
-37.5378,147.9319,311.4,2.5,1.5,2019-12-29,1227,Terra,MODIS,4,6.03,297.1,22.5,N,0
-37.533,147.8808,316.7,2.5,1.5,2019-12-29,1227,Terra,MODIS,66,6.03,297.2,41.2,N,0
-37.5471,147.8799,325.4,2.5,1.5,2019-12-29,1227,Terra,MODIS,100,6.03,298.3,74.1,N,0
-37.5452,147.9089,322.9,2.5,1.5,2019-12-29,1227,Terra,MODIS,100,6.03,298.6,60.2,N,0
-37.3383,148.4902,328.7,2.3,1.5,2019-12-29,1227,Terra,MODIS,100,6.03,293.2,86.3,N,0
-37.3364,148.5154,313.6,2.3,1.5,2019-12-29,1227,Terra,MODIS,87,6.03,292.9,35.2,N,0
-37.3518,148.489,312.8,2.3,1.5,2019-12-29,1227,Terra,MODIS,86,6.03,294.4,32.4,N,0
-37.35,148.5141,319.3,2.3,1.5,2019-12-29,1227,Terra,MODIS,98,6.03,293.7,50.7,N,0
-37.4045,147.5381,315.2,2.6,1.6,2019-12-29,1227,Terra,MODIS,91,6.03,289.7,50.5,N,0
-37.3806,147.6838,314.6,2.6,1.5,2019-12-29,1227,Terra,MODIS,90,6.03,290.8,45.8,N,0
-37.5218,147.6134,328.5,2.6,1.6,2019-12-29,1227,Terra,MODIS,100,6.03,297.7,95.1,N,0
-37.6024,147.9786,307.6,2.5,1.5,2019-12-29,1227,Terra,MODIS,8,6.03,296.8,18.1,N,0
-37.5361,147.6137,320.2,2.6,1.6,2019-12-29,1227,Terra,MODIS,100,6.03,297.6,57.7,N,0
-37.4237,147.7488,306.7,2.6,1.5,2019-12-29,1227,Terra,MODIS,6,6.03,291.2,19.9,N,0
-37.4561,147.8981,313.1,2.5,1.5,2019-12-29,1227,Terra,MODIS,86,6.03,295.5,35.3,N,0
-37.464,147.7805,305.5,2.5,1.5,2019-12-29,1227,Terra,MODIS,22,6.03,293.8,16,N,0
-37.47,147.9006,349.1,2.5,1.5,2019-12-29,1227,Terra,MODIS,100,6.03,300,218.6,N,0
-37.4581,147.8693,309.6,2.5,1.5,2019-12-29,1227,Terra,MODIS,53,6.03,295.4,25.7,N,0
-37.5058,147.5782,313.1,2.6,1.6,2019-12-29,1227,Terra,MODIS,86,6.03,296.7,36.6,N,0
-37.4191,147.743,307.5,2.6,1.5,2019-12-29,1227,Terra,MODIS,31,6.03,291.3,22.8,N,0
-37.5341,147.6449,316.1,2.6,1.6,2019-12-29,1227,Terra,MODIS,92,6.03,297.4,42.3,N,0
-37.4721,147.869,337.9,2.5,1.5,2019-12-29,1227,Terra,MODIS,100,6.03,298.7,141.5,N,0
-37.2011,148.4603,306.8,2.3,1.5,2019-12-29,1228,Terra,MODIS,12,6.03,286.5,20,N,0
-37.205,148.4089,314.1,2.3,1.5,2019-12-29,1228,Terra,MODIS,54,6.03,290.4,35.5,N,0
-37.1874,148.4622,308.2,2.3,1.5,2019-12-29,1228,Terra,MODIS,20,6.03,286.6,24.4,N,0
-37.3456,147.5645,301.5,2.6,1.6,2019-12-29,1228,Terra,MODIS,30,6.03,290,16.2,N,0
-37.3744,147.7078,305.7,2.6,1.5,2019-12-29,1228,Terra,MODIS,40,6.03,288.7,21.2,N,0
-37.2811,148.5371,301,2.3,1.5,2019-12-29,1228,Terra,MODIS,24,6.03,285.8,11.2,N,0
-36.9579,148.2881,302.8,2.3,1.5,2019-12-29,1228,Terra,MODIS,33,6.03,291.5,15.8,N,0
-37.3765,147.6787,313.9,2.6,1.5,2019-12-29,1228,Terra,MODIS,88,6.03,287.9,44.8,N,0
-37.0724,148.1449,304.5,2.4,1.5,2019-12-29,1228,Terra,MODIS,40,6.03,288.4,22.4,N,0
-37.1815,148.5397,308.8,2.3,1.5,2019-12-29,1228,Terra,MODIS,52,6.03,286.5,30.4,N,0
-37.1963,148.4671,314.4,2.3,1.5,2019-12-29,1228,Terra,MODIS,48,6.03,288.5,34.6,N,0
-37.7368,149.3214,350.9,2.2,1.4,2019-12-29,1544,Aqua,MODIS,100,6.03,297.4,175.1,N,0
-37.7276,149.3731,504.3,2.2,1.4,2019-12-29,1544,Aqua,MODIS,100,6.03,400.1,5400.4,N,0
-37.7256,149.3479,380.3,2.2,1.4,2019-12-29,1544,Aqua,MODIS,100,6.03,304.7,467.5,N,0
-37.7237,149.3229,325.4,2.2,1.4,2019-12-29,1544,Aqua,MODIS,100,6.03,296.3,46.3,N,0
-37.7145,149.3749,472.1,2.2,1.4,2019-12-29,1544,Aqua,MODIS,100,6.03,319.9,3283.3,N,0
-37.7125,149.3495,366.7,2.2,1.4,2019-12-29,1544,Aqua,MODIS,100,6.03,300.7,313.3,N,0
-37.7106,149.3245,320.7,2.2,1.4,2019-12-29,1544,Aqua,MODIS,100,6.03,294.8,31.4,N,0
-37.7014,149.3764,446.1,2.2,1.4,2019-12-29,1544,Aqua,MODIS,100,6.03,312.3,2081.2,N,0
-37.6995,149.3514,357.8,2.2,1.4,2019-12-29,1544,Aqua,MODIS,100,6.03,298.1,234.8,N,0
-37.6882,149.3775,426.7,2.2,1.4,2019-12-29,1544,Aqua,MODIS,100,6.03,308.3,1417.5,N,0
-37.6863,149.3526,352.6,2.2,1.4,2019-12-29,1544,Aqua,MODIS,100,6.03,296.7,196.1,N,0
-37.675,149.3786,378.8,2.2,1.4,2019-12-29,1544,Aqua,MODIS,100,6.03,302.2,451,N,0
-37.6732,149.3538,327.7,2.2,1.4,2019-12-29,1544,Aqua,MODIS,98,6.03,297,65.3,N,0
-37.3498,147.5813,303.5,1.7,1.3,2019-12-29,1544,Aqua,MODIS,31,6.03,293.1,10,N,0
-37.3463,147.5762,303.5,1.7,1.3,2019-12-29,1544,Aqua,MODIS,56,6.03,292.5,10.2,N,0
-37.6005,149.3745,319.3,2.2,1.4,2019-12-29,1544,Aqua,MODIS,98,6.03,291.9,44.3,N,0
